Rank,Replacement_Policy,T1,T2,T3,T4,GeoMean_IPC,Sum_IPC,Completed
1,adaptive_final_tournament,0.8849,0.383,1.382,0.3967,0.6565469726683549,3.0465999999999998,4
2,mpp_final,0.885,0.3775,1.381,0.3968,0.654118439771985,3.0403,4
3,srrip,0.885,0.3776,1.379,0.3966,0.653842366958499,3.0382,4
4,adaptive_v4_lru_srrip_duel,0.8849,0.3772,1.379,0.3917,0.651622286173991,3.0328,4
5,lru,0.8849,0.3675,1.383,0.3943,0.6489333947077924,3.0296999999999996,4
6,adaptive_v3_pure_ship,0.876,0.3743,1.301,0.4055,0.6449083827628542,2.9568,4
7,adaptive_v2_srrip_mru_duel,0.8829,0.3299,1.27,0.3931,0.6175187506743413,2.8759,4
8,mru_exact,0.8717,0.2311,1.004,0.3883,0.5293793833307439,2.4951,4
9,mru_recency_ranks,0.8717,0.2311,1.004,0.3883,0.5293793833307439,2.4951,4
10,adaptive_v1_drrip,0.8848,0.3774,1.374,,0.7712785395612201,2.6362,3
